step,layer,gamma_mag,beta_mag,gamma_var_tokens,beta_var_tokens,val_loss,ppl
21000,9,1.809534,0.429691,0.19571,0.054329,4.6617,105.82
21000,10,2.073581,0.575998,0.269658,0.091009,4.6617,105.82
21000,11,2.437112,0.790008,0.485644,0.200477,4.6617,105.82
22000,0,0.997302,0.130211,0.000994,0.000578,4.6329,102.81
22000,1,1.33409,0.251648,0.01835,0.007592,4.6329,102.81
22000,2,1.402452,0.307738,0.035453,0.014564,4.6329,102.81
22000,3,1.422237,0.190743,0.034039,0.016975,4.6329,102.81
22000,4,1.384046,0.165002,0.025989,0.013279,4.6329,102.81
22000,5,1.30373,0.223611,0.055489,0.038784,4.6329,102.81
22000,6,1.400573,0.398054,0.062602,0.061446,4.6329,102.81
22000,7,1.348609,0.366484,0.084311,0.066568,4.6329,102.81
22000,8,1.579928,0.41287,0.161708,0.056044,4.6329,102.81
22000,9,1.731423,0.393251,0.198658,0.055738,4.6329,102.81
22000,10,2.069158,0.575645,0.292515,0.099781,4.6329,102.81
22000,11,2.403034,0.762423,0.517161,0.211168,4.6329,102.81
23000,0,0.997643,0.135867,0.001174,0.000583,4.6513,104.72
23000,1,1.324062,0.254631,0.01939,0.008168,4.6513,104.72
23000,2,1.387385,0.30893,0.038284,0.015134,4.6513,104.72
23000,3,1.408353,0.185471,0.033411,0.016894,4.6513,104.72
23000,4,1.391787,0.16711,0.02333,0.012771,4.6513,104.72
23000,5,1.30758,0.221732,0.067075,0.04385,4.6513,104.72
23000,6,1.374892,0.383442,0.062014,0.061165,4.6513,104.72
23000,7,1.216147,0.300508,0.083513,0.062668,4.6513,104.72
23000,8,1.521523,0.38981,0.172524,0.058439,4.6513,104.72
23000,9,1.733373,0.40084,0.21247,0.060508,4.6513,104.72
23000,10,2.026193,0.556847,0.302351,0.103532,4.6513,104.72
23000,11,2.453887,0.787211,0.527821,0.214828,4.6513,104.72
24000,0,1.005258,0.134137,0.001351,0.000753,4.5701,96.55
24000,1,1.3079,0.249111,0.017812,0.007818,4.5701,96.55
24000,2,1.406492,0.317448,0.038472,0.015856,4.5701,96.55
24000,3,1.464048,0.201883,0.035038,0.01735,4.5701,96.55
24000,4,1.382695,0.164857,0.024113,0.013404,4.5701,96.55
24000,5,1.313756,0.223857,0.061959,0.041149,4.5701,96.55
24000,6,1.405197,0.399132,0.059347,0.059722,4.5701,96.55
24000,7,1.304636,0.340099,0.078957,0.060657,4.5701,96.55
24000,8,1.530367,0.397095,0.172383,0.058559,4.5701,96.55
24000,9,1.672869,0.379697,0.211188,0.059913,4.5701,96.55
24000,10,2.028873,0.559618,0.292512,0.100511,4.5701,96.55
24000,11,2.473158,0.795184,0.519447,0.207778,4.5701,96.55
25000,0,1.011907,0.137452,0.001475,0.000773,4.5739,96.92
25000,1,1.334126,0.260589,0.018764,0.008006,4.5739,96.92
25000,2,1.384,0.301975,0.038387,0.016011,4.5739,96.92
25000,3,1.459835,0.193651,0.032532,0.015855,4.5739,96.92
25000,4,1.419763,0.172548,0.025497,0.013721,4.5739,96.92
25000,5,1.333561,0.231101,0.064344,0.043012,4.5739,96.92
25000,6,1.412635,0.405207,0.062606,0.0622,4.5739,96.92
25000,7,1.327386,0.355656,0.078229,0.061095,4.5739,96.92
25000,8,1.57447,0.412616,0.149065,0.053876,4.5739,96.92
